"","dyadid","year","f_a","f_b","f_c","f_d","f_e","f_f","fm_a","fm_b","fm_c","fm_d","fm_e","fm_f","m_a","m_b","m_c","m_d","m_e","m_f","mm_a","mm_b","mm_c","mm_d","mm_e","mm_f","t_a","t_b","t_c","t_d","t_e","t_f","tm_a","tm_b","tm_c","tm_d","tm_e","tm_f"
"129",12,1996,0,0,0,0,16,16,0,0,0,0,4,4,0,0,0,0,13,13,0,0,0,0,2,2,0,0,0,0,16,24,0,0,0,0,4,11
"130",12,1997,0,0,0,0,12,30,0,0,0,0,4,18,0,0,0,0,9,22,0,0,0,0,2,13,1,1,1,1,15,35,0,0,0,0,5,20
"131",12,1998,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8
"132",12,1999,0,0,0,0,2,7,0,0,0,0,2,6,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,2,7,0,0,0,0,2,6
"133",12,2000,0,0,0,0,4,9,0,0,0,0,4,9,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,5,11,0,0,0,0,5,10
"134",12,2001,0,0,0,0,4,14,0,0,0,0,4,13,0,0,0,0,3,7,0,0,0,0,3,7,1,1,1,1,8,19,0,0,0,0,4,13
"135",12,2002,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,2,1,1,1,1,2,7,1,1,1,1,1,6
"136",12,2003,6,6,6,6,6,6,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,8,8,8,8,8,8,5,5,5,5,5,5
"137",13,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",13,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",13,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",13,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",13,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7
"142",13,1995,0,0,0,0,12,12,0,0,0,0,10,10,0,0,0,0,11,11,0,0,0,0,9,9,0,0,0,0,13,41,0,0,0,0,11,34
"143",13,1996,0,0,0,0,16,16,0,0,0,0,4,4,0,0,0,0,13,13,0,0,0,0,2,2,0,0,0,0,16,24,0,0,0,0,4,11
"144",13,1997,0,0,0,0,12,30,0,0,0,0,4,18,0,0,0,0,9,22,0,0,0,0,2,13,0,0,0,0,14,34,0,0,0,0,5,20
"145",13,1998,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,5,9,0,0,0,0,4,8
"146",13,1999,0,0,0,0,2,7,0,0,0,0,2,6,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,2,7,0,0,0,0,2,6
"147",13,2000,0,0,0,0,4,9,0,0,0,0,4,9,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,5,11,0,0,0,0,5,10
"148",13,2001,0,0,0,0,4,14,0,0,0,0,4,13,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,7,18,0,0,0,0,4,13
"149",13,2002,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,5
"150",13,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",13,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",13,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",13,2006,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
